logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-24528.936194553593,-27158.234605323316,-22390.002845186067,-24585.539450468874
-61405.01735394566,-63966.47189859974,-54557.33595284647,-56508.69432733788
-74044.43166107446,-72236.74978832889,-65442.286366833396,-63965.552803463084
-19162.542729083238,-20648.90759476928,-17896.472271323633,-19139.89214494514
-530.5669336079026,-1407.998690306553,-564.626876703776,-1439.8138498695898
-19537.95615556415,-19622.977842799894,-20832.075116929376,-21029.01012898764
-79739.12621429142,-82099.76255503618,-90614.39867496803,-93768.1283386178
-19436.008515595608,-22262.02487682731,-18416.98938230909,-20911.7084990563
-3397.3544657024427,-5279.11487977143,-3498.4592759792386,-5531.2135284991955
-180424.31668532355,-180522.6809069679,-222830.53262359073,-223500.13163464636
-35384.65395258325,-34454.231410830456,-37969.47462507159,-36855.87991688503
-66037.52616176823,-65437.577872585985,-59423.812173290615,-58882.411563591086
-62.45244072169401,-207.99590378993284,-82.18806262713093,-234.32831454771042
-11139.38612134366,-11770.609193558903,-11738.19767807703,-12468.784703409137
-61796.43320095202,-62440.98084852279,-68238.32583388245,-69259.5046118782
-9828.771503324098,-10850.241260404928,-10142.560194579424,-11340.104996687876
-78586.93654385209,-79594.92440718296,-70554.48801491334,-71485.10159984702
-2153.8863534803404,-1939.944660194345,-2212.3429590041683,-2011.6998757404456
-1524.7909839353956,-2933.8041096665106,-1392.200811703131,-2704.7684172746044
-182803.47333731636,-184192.44462968915,-153055.76865710676,-154219.16390701968
-4976.3500632282985,-4767.634029959287,-4607.258739783095,-4401.174006912727
-97273.8632570949,-92741.1519287004,-112093.03620170217,-105648.54188132077
-94581.90949301906,-104615.74000290228,-108749.96582766902,-122954.73622393193
-45467.86099929504,-45020.02688293868,-40808.031730371804,-40580.33297113041
-33220.26541592337,-34314.199415575255,-30552.272043951067,-31333.499966660187
-111754.98795198654,-107681.64286335807,-131252.80754927985,-125760.69529036187
-43511.65117658823,-42595.80112866743,-47064.732941924776,-46033.27032285184
-938.5209748866981,-1587.3500612915207,-1085.8901188926643,-1792.2554157937668
-5843.753167832213,-6625.696976691417,-6166.522407426564,-6992.02643095734
-22018.088632545416,-20620.840045238823,-22587.807558758035,-21053.043803279477
-27672.123362756636,-26014.261217035128,-29993.369719077953,-28117.23030306567
-36403.32248210348,-38495.25034664733,-39087.459566016274,-41622.50968844657
-6761.45492793124,-8251.08011788548,-6457.145427744064,-7808.054474761813
-12258.292308045375,-13281.519932925909,-12366.2898627219,-13563.729842677983
-319.476090370763,-862.6924879825391,-312.7420473808206,-817.6435454653523
-82901.53516979869,-76912.59845315678,-73582.02772115373,-69047.14812634271
-104623.87864503745,-103323.52518606005,-90620.0414209119,-89444.30058316057
-8464.755137428012,-9780.36697182304,-8117.638586722,-9291.317197418593
-4814.493949442439,-5891.653170324416,-5072.47062032833,-6254.602542597892
-41979.724553197695,-44061.75794668181,-37868.465681106536,-39533.4759633265
-66722.55124488099,-65204.96439048644,-73856.20376885064,-71937.32191553591
-73397.23942869145,-69550.14772872576,-64568.683657990085,-61532.94217619768
-65200.10983834964,-66134.62004597085,-72469.49801610346,-73767.56761103142
-39774.80564542712,-41020.74260028664,-36036.606684845836,-37142.718165118284
-75653.02267579408,-76078.70018374329,-84842.21151915907,-85619.32336402936
-140509.07173799153,-144813.23978178515,-120247.94783664307,-122995.86115232382
-20049.057764594767,-20080.09081485743,-18364.414825736356,-18393.043738956032
-6526.584021927227,-6824.217916830525,-6498.762336607867,-6858.5639392418725
-23156.31684894051,-22280.761488286014,-21586.91892809398,-20705.434499088355
-26997.559726820764,-29109.246081793666,-28707.97036253179,-31285.732814708914
-1982.211868721566,-2318.4909183630484,-1747.2803423604103,-2071.710631672412
-9091.744794060394,-7810.705464117733,-8420.94543876717,-7227.44957183151
-103256.46676279217,-103650.66136503217,-120282.38367054712,-121070.26615021926
-91806.21052036273,-91602.85442415693,-105361.24784364756,-105590.34546905215
-36567.44569614781,-32695.010899963745,-40010.33232460134,-35507.547586758825
-11388.271715589693,-8659.975692416132,-11889.792782596685,-8952.698244751014
-417.4106225808679,-860.6215457974525,-337.03653445723444,-731.3319526238046
-207460.80985010898,-217925.92894725606,-173610.4294984997,-180562.2098097172
-130198.26377898107,-123038.57755762602,-111345.12206637613,-106192.17000208554
-26755.685710404883,-26974.00653060903,-24224.56741097307,-24235.47299974437
-239.23868248663936,-275.5046511816324,-218.99669374980024,-272.44809394604147
-2648.44792630371,-3080.82561951761,-2535.905442490883,-2933.100077976818
-167.5934307763903,-263.8074834429311,-116.5329585731227,-263.86365978768595
-57.00128263579111,-190.30517632394088,-63.10002377161261,-190.65772249396218
-54423.086621882176,-54747.0231071094,-48596.131990002075,-49047.47947373926
-644.9453818615551,-1459.1324878929163,-710.9954496677619,-1591.8314322436477
-15005.554585558717,-14575.035541531113,-15389.160444340834,-14894.528361940334
-57.74539886407476,-446.5443361734896,-58.998229690550346,-411.5238515067396
-14408.390144160427,-17390.442857302383,-13153.029569558548,-15601.416902697862
-20159.812890261164,-20697.776373944173,-18764.49276145724,-19200.56571334889
-89152.24475685325,-89409.34829486873,-101924.59894817213,-102498.13751548849
-4225.554500953269,-5139.463227340158,-3906.258073086147,-4682.681405796647
-53283.00674691604,-54516.80644215209,-59043.42110985842,-60669.146708054526
-828.5856375590175,-974.338242254589,-912.9200177281061,-1042.7820298039508
-8078.829570235017,-6662.654629983827,-7615.512831709629,-6356.574282347493
-67.33319893799155,-370.10778004614076,-84.17647521288359,-457.1123730859522
-13293.36866381709,-14392.617188651519,-14199.038865134202,-15466.004050569507
-34368.1891606781,-33731.05292486599,-31726.411745830253,-31012.911014846413
-2516.3149525502677,-3157.548461376718,-2402.237411303768,-3008.8877289423053
-2385.1176089308847,-3641.1762632320488,-2255.6411459197657,-3577.01455045569
-56999.16872662604,-58762.37449648114,-62531.04790388774,-65107.990238782135
-48819.5755592671,-45004.025497171475,-44416.65419924938,-41271.38491206553
-38595.848004732354,-42035.81636855868,-41981.048939968314,-46185.20730729874
-3253.5379461380817,-4022.227086173895,-3109.0214316952242,-3942.648941312739
-2931.7431368582147,-2826.528409671758,-2781.8570873237995,-2686.3988128002793
-16413.802109085256,-15172.211332319435,-17478.819408775846,-16105.042894863098
-10388.037611565767,-9663.656387373758,-10423.653845356957,-9682.952602074685
-1886.2851605157764,-1082.196355340342,-1766.2646555816311,-1023.7401809020364
-25665.284416565595,-23622.758870299156,-23369.97104219268,-21471.006635728136
-32721.90243146729,-32202.170207901003,-34459.94701235795,-33897.007673578075
-36883.90058164635,-40490.584224080216,-39490.10112594802,-43899.398994972995
-135.79505305163417,-398.68963646960935,-147.37040502464845,-407.55195713620725
-134316.62054095176,-139003.2622210352,-115540.61620849822,-118938.02651488192
-9670.720119903719,-8099.910421963985,-10366.56480581359,-8629.548200620819
-11111.601336934973,-9557.673649511233,-11523.122567879787,-9840.059101817502
-2969.536246523511,-1951.2335552220904,-2617.8667940319224,-1731.6964911590037
-38452.41586293839,-38373.92122910437,-41769.83050506645,-41677.32790367651
-3082.874554373909,-3261.1633124503173,-3203.1771596952713,-3395.693946730289
-119942.7958630838,-122861.11235709534,-103354.64024369903,-105395.51878744939
-7095.5028258697,-7239.305545583071,-6665.018309678201,-6748.729036754312
-12843.354879977518,-13556.841487751435,-13012.014052470482,-13764.039716782841
-50959.64026132325,-50440.17738822849,-55844.38386786898,-55012.725535239326
-11421.611120972486,-11145.77350544883,-10503.343160862192,-10204.88199710068
-124926.58365105819,-118591.12442022725,-147621.8991192854,-138559.2350918895
-205992.99749773985,-207519.34048114368,-171716.66073857117,-172763.6398242822
-30454.600080265252,-31132.575842477952,-31636.431209259386,-32369.884773583708
-56148.756080673535,-57496.66046456453,-50234.82603350945,-51268.179023466895
-147100.48841861842,-140480.51340546124,-177017.01682938775,-166683.76643742944
-53027.02159165716,-48587.70561946433,-48357.79456802407,-44761.60637023847
-78565.74111050356,-79836.58261528747,-88884.32012970975,-90812.4450589285
-46983.21134037905,-50992.6820557885,-50046.511100810414,-55077.15352611782
-5606.025576454971,-6139.538054316627,-5939.283308146305,-6515.41864689998
-141987.40875423813,-139982.7661466253,-169800.61719737764,-166960.4481882983
-24611.99840553958,-25501.835219513454,-26549.710507860815,-27674.48052465523
-66062.63349054127,-68477.96647510747,-73802.94972889646,-76860.05402941418
-168342.81369222724,-165392.43163644415,-143343.56987657477,-141413.26953490122
-11607.396708496532,-9583.02881408382,-11059.878929823684,-9183.218702097574
-2180.981322704559,-1612.741398267438,-2096.1621402878313,-1540.0103962461762
-2749.153081734232,-2573.471351071276,-2529.4671713130615,-2341.2988785650155
-70347.67589000058,-69536.07908825013,-78423.7836752755,-77280.07321763253
