logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-8349.249038116594,-8055.335272998975,-9929.904290502778,-9572.747300472398
-2798.662169823009,-2295.326381631484,-3058.8101805837714,-2448.424472810261
-632.5889518031345,-688.5352331685939,-590.3471368690349,-634.0114225152277
-51005.092396957116,-51258.095528633516,-38332.84288371472,-38479.09504374038
-49406.78000190037,-48089.042601590496,-37037.31276507933,-36438.352832728604
-14094.994437077921,-13872.180102953214,-11910.149916278948,-11667.964373593151
-625.5369720658437,-705.04117448113,-669.6306121454872,-759.0396025937746
-290.1900162973374,-447.31172910852126,-307.27114500547503,-468.1888831280574
-902.7640325359633,-1095.8655089324855,-939.9425976261973,-1156.3537536656918
-40.392823449956445,-101.90194993229582,-40.783769149639866,-103.19077013981884
-14348.356803279776,-13975.41693916032,-12377.202425043597,-12063.255857864453
-173.91418384812596,-237.13253771464798,-154.02619365744545,-219.69432439497905
-5770.409429058032,-5587.27698414106,-6545.10470845825,-6342.7886220276005
-86.01895201991773,-256.04047914346086,-99.85053564198336,-282.7572183921808
-7915.259863895036,-8840.81975008343,-6937.026741282837,-7665.071660141027
-6278.73548067775,-7374.773703188979,-5570.819258992841,-6425.186911931418
-18194.05910676229,-18838.59913324664,-23423.715324216646,-24471.516197415796
-2764.453487276626,-3230.090443642567,-2559.8846735321936,-2934.761245028777
-10654.591241677625,-11404.408801030895,-12875.490883289121,-14004.784547557127
-151.3364548851874,-241.76904254043583,-145.45171665046826,-242.48725807142964
-1872.336309457638,-1895.3856594511174,-1801.4119221510994,-1819.8065707660483
-900.3976103066715,-1297.4841685622632,-780.0727249270027,-1128.479556745718
-3035.7187247763877,-3367.2706410350543,-3370.0986176458828,-3787.2588907704103
-5046.980378491003,-5371.37139016469,-4701.546120442233,-4949.512534067061
-209.20701504692403,-310.53515640502866,-208.70643637931752,-309.24777828053965
-1373.9731776549115,-1787.4774882061363,-1445.8436733571812,-1915.5867861348959
-13948.117874921294,-14258.287313683064,-17119.7653278499,-17559.168242419877
-8358.632445020736,-7798.431106685687,-7332.645090147952,-6903.414437812083
-10473.07050861822,-10982.36351192131,-12600.762848756856,-13341.1048960057
-3373.576336386594,-3233.571175475793,-3681.64709302802,-3550.621436898888
-533.0712423010478,-566.0831976948872,-529.6931632556106,-557.3094232057488
-3053.157314428352,-3000.242911852359,-3339.430887034876,-3250.0290878414744
-3234.3966666873944,-3172.4187816752606,-3506.2128949533962,-3446.2770064570723
-1312.9992862471115,-1154.165613895483,-1228.1310131096989,-1089.356018465829
-13845.593680364575,-12791.866349067186,-11618.247591243247,-10814.961913745783
-12340.808359519986,-12338.83318542793,-14854.349403842009,-14887.313836802068
-11344.995262094099,-12127.55144133071,-13768.744925862082,-14991.082313784744
-125.36321604954841,-356.40616953746473,-116.43114568221722,-338.6401611959808
-38223.72291272999,-37919.161298733365,-29783.13985905552,-29659.910575280563
-1086.8542270647513,-1135.032899770978,-1123.8934343340502,-1172.8908585587562
-3250.5759746919234,-2946.6897276230093,-3587.2972683957482,-3236.7274544480856
-4104.2499314813995,-3658.086692150772,-3629.631464414271,-3259.14946868584
-8365.541862764921,-8531.541376802297,-9869.905156392024,-10130.290832748746
-1421.3839915423127,-1458.0331277276232,-1533.3430163514772,-1574.0025154376804
-38545.63499178513,-39622.61425368802,-29758.887262929315,-30400.996643017654
-1341.0141322105326,-1359.466086343775,-1234.4882646445951,-1246.5745821481864
-5329.801504787546,-5249.141863994121,-6022.183813541343,-5935.11359452212
-14833.720451917072,-14452.796099705969,-18368.645782404594,-17714.672609200275
-6568.565325773888,-6956.8481274486585,-5818.291261139416,-6147.265100267588
-25494.478064089457,-24593.324170826992,-34732.299310083494,-32740.47644116764
-68434.33829809017,-67892.53441888507,-49352.23307242945,-48691.402561953175
-15099.1043597407,-14956.180438136602,-18890.22319048816,-18714.95996815958
-18675.934045736543,-19263.618377737203,-15594.33748561888,-15959.545521341195
-33208.556471715,-31972.426896058183,-48435.90083904829,-45893.087728996055
-13431.339611304245,-13260.606514374007,-11340.093411827902,-11243.52630195385
-19089.388668890504,-19540.626539512126,-24566.006117080826,-25473.026703069256
-19421.83542418699,-19964.48020689299,-25138.10017691566,-26161.606626473702
-676.0781736211093,-940.2826243673981,-685.5742569592134,-979.3863767095797
